Date,Open,High,Low,Close,Volume,Market Cap,Year,Month
2016-10-16,639.08,642.9,638.9,641.63,40298100.0,10176800000.0,2016,10
2016-10-17,641.82,642.33,638.66,639.19,58063600.0,10221300000.0,2016,10
2016-10-18,639.41,640.74,636.0,637.96,65546700.0,10184000000.0,2016,10
2016-10-19,638.13,638.87,628.01,630.52,69381700.0,10164800000.0,2016,10
2016-10-20,630.66,631.92,628.26,630.86,56957300.0,10046700000.0,2016,10
2016-10-21,630.83,634.09,630.69,632.83,55951000.0,10050300000.0,2016,10
2016-10-22,633.14,658.2,632.85,657.29,78556500.0,10088400000.0,2016,10
2016-10-23,657.62,661.13,653.89,657.07,54474600.0,10479700000.0,2016,10
2016-10-24,657.16,657.25,652.6,653.76,62218200.0,10473500000.0,2016,10
2016-10-25,654.0,664.42,653.7,657.59,90378800.0,10424300000.0,2016,10
2016-10-26,657.68,679.73,657.68,678.3,88877100.0,10484000000.0,2016,10
2016-10-27,678.21,688.59,678.04,688.31,96105300.0,10812500000.0,2016,10
2016-10-28,688.0,690.44,684.16,689.65,81145500.0,10969800000.0,2016,10
2016-10-29,690.29,720.4,690.05,714.48,134761000.0,11007600000.0,2016,10
2016-10-30,714.12,714.12,696.48,701.86,100665000.0,11388800000.0,2016,10
2016-10-31,702.64,709.29,691.68,700.97,97064400.0,11207200000.0,2016,10
2016-11-01,701.34,736.45,701.34,729.79,130527000.0,11187700000.0,2016,11
2016-11-02,730.07,740.83,722.35,740.83,84865200.0,11647200000.0,2016,11
2016-11-03,742.35,745.77,678.16,688.7,172808000.0,11844300000.0,2016,11
2016-11-04,689.12,706.93,685.56,703.24,99907700.0,10996400000.0,2016,11
2016-11-05,703.52,707.51,697.74,703.42,53752300.0,11227200000.0,2016,11
2016-11-06,703.81,714.26,699.56,711.52,59902200.0,11233000000.0,2016,11
2016-11-07,710.74,710.74,699.9,703.13,65047100.0,11344800000.0,2016,11
2016-11-08,703.09,712.99,702.39,709.85,79660800.0,11224000000.0,2016,11
2016-11-09,709.83,740.05,708.61,723.27,132429000.0,11333000000.0,2016,11
2016-11-10,722.84,723.02,711.21,715.53,68807800.0,11542100000.0,2016,11
2016-11-11,715.55,718.32,714.41,716.41,63119700.0,11427200000.0,2016,11
2016-11-12,716.75,717.15,704.03,705.05,64622500.0,11447700000.0,2016,11
2016-11-13,705.2,705.26,687.32,702.03,80318100.0,11264500000.0,2016,11
2016-11-14,702.0,706.28,699.81,705.02,62993000.0,11214600000.0,2016,11
2016-11-15,705.79,715.72,705.26,711.62,72038500.0,11283400000.0,2016,11
2016-11-16,711.17,747.62,709.04,744.2,141294000.0,11370700000.0,2016,11
2016-11-17,744.88,755.64,739.51,740.98,108579000.0,11911300000.0,2016,11
2016-11-18,740.71,752.88,736.89,751.59,87363100.0,11846000000.0,2016,11
